epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,153366,1.67321,1.51696,2.06415,0.93143,0.7344,0.84042,0.50297,1.66927,1.6018,2.29152,0.0007229,0.0007229,0.0007229
131,153610,1.73576,1.5976,2.02032,0.93143,0.7344,0.84042,0.50297,1.66927,1.6018,2.29152,0.000713,0.000713,0.000713
132,153856,1.61909,1.56398,2.04929,0.80201,0.86486,0.84979,0.51333,1.68509,1.4972,2.3594,0.0007031,0.0007031,0.0007031
133,154105,1.61781,1.49573,2.05735,0.86596,0.87316,0.88094,0.48389,1.73234,1.31597,2.43474,0.0006932,0.0006932,0.0006932
134,154362,1.49846,1.36291,1.91956,0.86596,0.87316,0.88094,0.48389,1.73234,1.31597,2.43474,0.0006833,0.0006833,0.0006833
135,154606,1.7244,1.54129,2.14689,0.86843,0.89194,0.88674,0.48346,1.76724,1.18738,2.46023,0.0006734,0.0006734,0.0006734
136,154855,1.59184,1.40462,1.99949,0.86037,0.86486,0.89192,0.45418,1.85967,1.11897,2.56384,0.0006635,0.0006635,0.0006635
137,155104,1.49937,1.55037,2.07296,0.86037,0.86486,0.89192,0.45418,1.85967,1.11897,2.56384,0.0006536,0.0006536,0.0006536
138,159197,1.60078,1.58019,2.0252,0.89667,0.83784,0.87998,0.44286,1.86441,1.13229,2.57824,0.0006437,0.0006437,0.0006437
139,159424,1.82182,1.5301,2.18719,0.89667,0.83784,0.87998,0.44286,1.86441,1.13229,2.57824,0.0006338,0.0006338,0.0006338
140,159659,1.7068,2.04814,2.06226,0.85514,0.86486,0.85577,0.42861,1.82914,1.20333,2.52126,0.0006239,0.0006239,0.0006239
141,159897,1.71953,1.65321,2.11811,0.90458,0.81081,0.8039,0.44933,1.76547,1.22252,2.47178,0.000614,0.000614,0.000614
